资产名,UE路径,类型,时长秒,帧数,RateScale,Additive类型,根XY轨迹cm_21点取样,启用RootMotion,原通知,首版状态,设计用途
Ability_E,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Ability_E.Ability_E,AnimSequence,1.1667,35,1.0,<AdditiveAnimationType.AAT_NONE: 0>,0.0,False,,首版使用,暗潮血刃
Ability_E_Jog_Fwd,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Ability_E_Jog_Fwd.Ability_E_Jog_Fwd,AnimSequence,1.8,54,1.0,<AdditiveAnimationType.AAT_NONE: 0>,0.0,False,,保留候选,首版未选入；可用于后续移动细化或扩展动作
Ability_E_Jog_Fwd_MSA,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Ability_E_Jog_Fwd_MSA.Ability_E_Jog_Fwd_MSA,AnimSequence,1.8,54,1.0,<AdditiveAnimationType.AAT_LOCAL_SPACE_BASE: 1>,0.0,False,,保留候选,叠加素材；先核对Additive类型与基准姿态
Ability_E_MSA,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Ability_E_MSA.Ability_E_MSA,AnimSequence,1.1667,35,1.0,<AdditiveAnimationType.AAT_ROTATION_OFFSET_MESH_SPACE: 2>,0.0,False,,保留候选,叠加素材；先核对Additive类型与基准姿态
Ability_E_target,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Ability_E_target.Ability_E_target,AnimSequence,0.0333,1,1.0,<AdditiveAnimationType.AAT_NONE: 0>,0.0,False,,姿态参考,单帧定姿，不作为完整攻击
Ability_E_target_additive,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Ability_E_target_additive.Ability_E_target_additive,AnimSequence,0.0333,1,1.0,<AdditiveAnimationType.AAT_LOCAL_SPACE_BASE: 1>,0.0,False,,姿态参考,单帧定姿，不作为完整攻击
Ability_E_target_transition,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Ability_E_target_transition.Ability_E_target_transition,AnimSequence,0.8,24,1.0,<AdditiveAnimationType.AAT_NONE: 0>,0.0,False,,保留候选,首版未选入；可用于后续移动细化或扩展动作
Ability_E_target_transition_MSA,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Ability_E_target_transition_MSA.Ability_E_target_transition_MSA,AnimSequence,0.8,24,1.0,<AdditiveAnimationType.AAT_LOCAL_SPACE_BASE: 1>,0.0,False,,保留候选,叠加素材；先核对Additive类型与基准姿态
Ability_Q,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Ability_Q.Ability_Q,AnimSequence,0.9667,29,1.0,<AdditiveAnimationType.AAT_NONE: 0>,0.0,False,,首版使用,环刃汲血
Ability_Q_Jog_Fwd,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Ability_Q_Jog_Fwd.Ability_Q_Jog_Fwd,AnimSequence,1.8,54,1.0,<AdditiveAnimationType.AAT_NONE: 0>,0.0,False,,保留候选,首版未选入；可用于后续移动细化或扩展动作
Ability_Q_Jog_Fwd_MSA,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Ability_Q_Jog_Fwd_MSA.Ability_Q_Jog_Fwd_MSA,AnimSequence,1.8,54,1.0,<AdditiveAnimationType.AAT_LOCAL_SPACE_BASE: 1>,0.0,False,,保留候选,叠加素材；先核对Additive类型与基准姿态
Ability_Q_MSA,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Ability_Q_MSA.Ability_Q_MSA,AnimSequence,0.9667,29,1.0,<AdditiveAnimationType.AAT_LOCAL_SPACE_BASE: 1>,0.0,False,,保留候选,叠加素材；先核对Additive类型与基准姿态
Ability_Q_target,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Ability_Q_target.Ability_Q_target,AnimSequence,0.0333,1,1.0,<AdditiveAnimationType.AAT_NONE: 0>,0.0,False,,姿态参考,单帧定姿，不作为完整攻击
Ability_Q_target_additive,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Ability_Q_target_additive.Ability_Q_target_additive,AnimSequence,0.0333,1,1.0,<AdditiveAnimationType.AAT_LOCAL_SPACE_BASE: 1>,0.0,False,,姿态参考,单帧定姿，不作为完整攻击
Ability_Q_target_transition,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Ability_Q_target_transition.Ability_Q_target_transition,AnimSequence,0.8333,25,1.0,<AdditiveAnimationType.AAT_NONE: 0>,0.0,False,,保留候选,首版未选入；可用于后续移动细化或扩展动作
Ability_Q_target_transition_MSA,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Ability_Q_target_transition_MSA.Ability_Q_target_transition_MSA,AnimSequence,0.8333,25,1.0,<AdditiveAnimationType.AAT_LOCAL_SPACE_BASE: 1>,0.0,False,,保留候选,叠加素材；先核对Additive类型与基准姿态
