fps,case,time,step,state,speed,x,y,z,sprint,dodge,input_paused,left_foot_x,left_foot_z,right_foot_x,right_foot_z
30,0,0.0000,0,Ground,0.00,0.00,-900.00,98.00,0,0,0,29.11,16.89,-36.75,17.24
30,0,0.0333,0,Ground,68.27,2.28,-900.00,90.15,0,0,0,31.38,9.02,-34.49,9.38
30,0,0.0667,0,Ground,136.53,6.83,-900.00,90.15,0,0,0,35.94,8.34,-29.53,9.10
30,0,0.1000,0,Ground,204.80,13.65,-900.00,90.15,0,0,0,44.37,6.57,-22.51,8.73
30,0,0.1333,1,Ground,318.62,3.03,-900.00,90.15,0,1,0,35.57,5.66,-34.42,10.03
30,0,0.1667,1,Ground,132.02,7.43,-900.00,90.15,0,1,0,10.49,12.16,-3.54,4.62
30,0,0.2000,1,Ground,1320.97,51.47,-900.00,90.15,0,1,0,57.76,19.44,20.81,5.63
30,0,0.2333,1,Ground,1748.00,109.73,-900.00,90.15,0,1,0,76.61,19.86,98.47,12.61
30,0,0.2667,1,Ground,1406.35,156.61,-900.00,90.15,0,1,0,92.82,28.50,150.96,27.90
30,0,0.3000,1,Ground,1260.68,198.63,-900.00,90.15,0,1,0,125.49,30.27,188.09,37.81
30,0,0.3333,1,Ground,1154.62,237.12,-900.00,90.15,0,1,0,157.60,35.03,224.87,39.80
30,0,0.3667,1,Ground,993.55,270.24,-900.00,90.15,0,1,0,190.94,34.83,257.22,35.36
30,0,0.4000,1,Ground,810.77,297.27,-900.00,90.15,0,1,0,223.02,34.67,300.69,30.02
30,0,0.4333,1,Ground,686.67,320.15,-900.00,90.15,0,1,0,257.40,35.54,339.69,23.03
30,0,0.4667,1,Ground,626.83,341.05,-900.00,90.15,0,1,0,294.69,38.31,379.67,16.39
30,0,0.5000,1,Ground,631.98,362.11,-900.00,90.15,0,1,0,332.42,42.12,422.32,12.63
30,0,0.5333,1,Ground,702.99,385.55,-900.00,90.15,0,1,0,366.58,44.62,444.81,10.34
30,0,0.5667,1,Ground,761.67,410.94,-900.00,90.15,0,1,0,392.76,43.36,444.82,10.19
30,0,0.6000,1,Ground,670.42,433.28,-900.00,90.15,0,1,0,410.09,39.32,446.94,10.47
30,0,0.6333,1,Ground,523.72,450.74,-900.00,90.15,0,1,0,424.00,32.23,449.56,12.55
30,0,0.6667,1,Ground,441.27,465.45,-900.00,90.15,0,1,0,443.28,22.48,452.92,15.10
30,0,0.7000,1,Ground,378.78,478.08,-900.00,90.15,0,1,0,472.89,12.99,458.84,17.47
30,0,0.7333,1,Ground,205.38,484.92,-900.00,90.15,0,1,0,505.71,8.03,460.10,17.53
30,0,0.7667,1,Ground,79.81,487.58,-900.00,90.15,0,1,0,520.57,9.06,457.69,17.14
30,0,0.8000,1,Ground,61.11,489.62,-900.00,90.15,0,1,0,520.61,9.14,458.70,16.55
30,0,0.8333,1,Ground,45.29,491.13,-900.00,90.15,0,1,0,520.67,9.21,461.61,15.64
30,0,0.8667,1,Ground,32.16,492.20,-900.00,90.15,0,1,0,520.73,9.24,463.95,14.43
30,0,0.9000,1,Ground,0.00,492.20,-900.00,90.15,0,1,0,519.63,9.11,462.87,12.34
30,0,0.9333,1,Ground,0.00,492.20,-900.00,90.15,0,1,0,520.04,8.65,459.43,10.17
30,0,0.9667,1,Ground,0.00,492.20,-900.00,90.15,0,1,0,521.07,8.25,456.55,9.16
30,0,1.0000,1,Ground,0.00,492.20,-900.00,90.15,0,1,0,521.69,8.14,455.81,8.96
30,0,1.0333,1,Ground,0.00,492.20,-900.00,90.15,0,1,0,521.45,8.55,455.64,9.18
30,0,1.0667,1,Ground,0.00,492.20,-900.00,90.15,0,1,0,521.27,8.95,455.45,9.40
30,0,1.1000,1,Ground,0.00,492.20,-900.00,90.15,0,0,0,521.26,8.93,455.45,9.41
30,0,1.1333,1,Ground,68.27,494.48,-900.00,90.15,0,0,0,523.54,8.93,457.73,9.42
30,0,1.1667,1,Ground,136.53,499.03,-900.00,90.15,0,0,0,525.67,9.27,464.14,9.10
30,0,1.2000,1,Ground,204.80,505.85,-900.00,90.15,0,0,0,527.82,9.91,474.57,8.12
30,0,1.2333,1,Ground,273.07,514.96,-900.00,90.15,0,0,0,533.17,12.13,487.06,7.27
30,0,1.2667,1,Ground,341.33,526.33,-900.00,90.15,0,0,0,546.28,17.49,496.73,10.26
30,0,1.3000,1,Ground,409.60,539.99,-900.00,90.15,0,0,0,561.76,20.64,501.64,15.07
30,0,1.3333,1,Ground,450.00,554.99,-900.00,90.15,0,0,0,581.92,22.36,507.33,20.49
30,0,1.3667,1,Ground,450.00,569.99,-900.00,90.15,0,0,0,603.42,23.08,514.21,27.22
30,0,1.4000,1,Ground,450.00,584.99,-900.00,90.15,0,0,0,623.87,21.24,523.48,36.25
30,0,1.4333,1,Ground,450.00,599.99,-900.00,90.15,0,0,0,640.65,16.66,537.04,48.70
30,0,1.4667,1,Ground,450.00,614.99,-900.00,90.15,0,0,0,653.59,11.44,557.37,59.46
30,0,1.5000,1,Ground,450.00,629.99,-900.00,90.15,0,0,0,656.45,10.03,584.32,66.71
30,1,0.0000,0,Ground,0.00,0.00,-900.00,98.00,0,0,0,29.12,16.83,-36.69,17.29
30,1,0.0333,0,Ground,68.27,2.28,-900.00,90.15,0,0,0,31.40,8.98,-34.41,9.44
