fps,case,time,step,x,y,z,vx,vy,vz,attack,action,position,input_paused
30,0,0.00000,0,-500.000,-900.000,98.000,0.000,0.000,0.000,0,0,0.0000,0
30,0,0.03333,0,-497.724,-900.000,90.150,68.267,0.000,0.000,0,0,0.0000,0
30,0,0.06667,0,-493.173,-900.000,90.150,136.533,0.000,0.000,0,0,0.0000,0
30,0,0.10000,0,-486.347,-900.000,90.150,204.800,0.000,0.000,0,0,0.0000,0
30,0,0.13333,0,-477.244,-900.000,90.150,273.067,0.000,0.000,0,0,0.0000,0
30,0,0.16667,0,-465.867,-900.000,90.150,341.333,0.000,0.000,0,0,0.0000,0
30,0,0.20000,0,-452.213,-900.000,90.150,409.600,0.000,0.000,0,0,0.0000,0
30,0,0.23333,0,-437.213,-900.000,90.150,450.000,0.000,0.000,0,0,0.0000,0
30,0,0.26667,0,-422.213,-900.000,90.150,450.000,0.000,0.000,0,0,0.0000,0
30,0,0.30000,0,-407.213,-900.000,90.150,450.000,0.000,0.000,0,0,0.0000,0
30,0,0.33333,0,-392.213,-900.000,90.150,450.000,0.000,0.000,0,0,0.0000,0
30,0,0.36667,0,-377.213,-900.000,90.150,450.000,0.000,0.000,0,0,0.0000,0
30,0,0.40000,0,-362.213,-900.000,90.150,450.000,0.000,0.000,0,0,0.0000,0
30,0,0.43333,1,-347.213,-900.000,111.272,450.000,0.000,617.333,0,0,0.0000,0
30,0,0.46667,1,-332.213,-900.000,131.306,450.000,0.000,584.667,0,0,0.0000,0
30,0,0.50000,1,-317.213,-900.000,150.250,450.000,0.000,552.000,0,0,0.0000,0
30,0,0.53333,2,-317.213,-900.000,168.106,-0.000,-0.000,519.333,1,1,0.0333,0
30,0,0.56667,2,-317.213,-900.000,184.872,-0.000,-0.000,486.667,1,1,0.0667,0
30,0,0.60000,2,-317.213,-900.000,200.550,-0.000,-0.000,454.000,1,1,0.1000,0
30,0,0.63333,2,-317.213,-900.000,215.139,-0.000,-0.000,421.333,1,1,0.1333,0
30,0,0.66667,2,-317.213,-900.000,228.639,-0.000,-0.000,388.667,1,1,0.1667,0
30,0,0.70000,2,-317.213,-900.000,241.050,-0.000,-0.000,356.000,1,1,0.2000,0
30,0,0.73333,2,-317.213,-900.000,252.372,-0.000,-0.000,323.333,1,1,0.2333,0
30,0,0.76667,3,-317.213,-900.000,262.606,-0.000,-0.000,290.667,1,1,0.2667,0
