fps,time,position,window,base_x,base_y,base_z,tip_x,tip_y,tip_z,enemy_x,enemy_y,enemy_z,enemy_r,enemy_h
30,0.56667,0.00000,0,99.750,-961.651,379.898,80.039,-1034.096,470.184,152.844,-1000.000,295.606,34.000,88.000
30,0.60000,0.03333,0,92.919,-942.040,378.981,165.186,-965.884,468.410,155.891,-1000.000,307.750,34.000,88.000
30,0.63333,0.06667,0,26.937,-962.567,367.464,-67.635,-918.495,421.338,158.570,-1000.000,318.806,34.000,88.000
30,0.66667,0.10000,0,23.840,-985.773,357.372,-57.469,-1067.458,334.901,160.826,-1000.000,328.772,34.000,88.000
30,0.70000,0.13333,0,30.808,-977.807,360.703,-52.910,-1042.931,310.319,162.598,-1000.000,337.650,34.000,88.000
30,0.73333,0.16667,1,40.266,-966.806,365.832,-61.096,-994.230,313.275,163.834,-1000.000,345.439,34.000,88.000
30,0.76667,0.20000,1,54.011,-956.582,368.967,-49.419,-949.110,313.876,164.476,-1000.000,352.139,34.000,88.000
30,0.80000,0.23333,1,63.860,-950.622,374.102,-44.690,-944.406,329.754,164.559,-1000.000,357.750,34.000,88.000
30,0.83333,0.26667,1,93.491,-950.484,381.362,14.527,-897.529,312.449,164.559,-1000.000,362.272,34.000,88.000
30,0.86667,0.30000,1,78.192,-1034.545,450.934,178.625,-1061.696,505.382,164.559,-1000.000,365.706,34.000,88.000
30,0.90000,0.33333,1,20.032,-1029.655,448.759,8.292,-1103.589,539.227,164.559,-1000.000,368.050,34.000,88.000
30,0.93333,0.36667,1,6.766,-1024.623,447.557,-19.849,-1088.345,542.529,164.559,-1000.000,369.306,34.000,88.000
30,0.96667,0.40000,0,-3.144,-1019.647,445.471,-35.468,-1070.734,546.138,164.559,-1000.000,369.472,34.000,88.000
30,1.00000,0.43333,0,-10.056,-1015.612,442.645,-42.518,-1052.249,549.381,164.559,-1000.000,368.550,34.000,88.000
30,1.03333,0.46667,0,-13.929,-1013.416,438.802,-45.547,-1033.578,550.077,164.559,-1000.000,366.539,34.000,88.000
60,0.55000,0.00000,0,97.447,-961.922,381.911,73.351,-1029.957,474.534,151.201,-1000.000,289.125,34.000,88.000
60,0.56667,0.01667,0,99.651,-955.981,382.920,104.204,-1028.207,475.393,152.844,-1000.000,295.606,34.000,88.000
60,0.58333,0.03333,0,91.447,-942.000,380.309,158.885,-964.413,473.788,154.409,-1000.000,301.814,34.000,88.000
60,0.60000,0.05000,0,58.516,-939.509,376.999,83.803,-860.370,459.981,155.891,-1000.000,307.750,34.000,88.000
60,0.61667,0.06667,0,26.997,-962.580,368.263,-67.842,-918.808,421.910,157.281,-1000.000,313.414,34.000,88.000
60,0.63333,0.08333,0,20.389,-981.572,360.312,-85.490,-1031.344,370.360,158.570,-1000.000,318.806,34.000,88.000
60,0.65000,0.10000,0,23.944,-985.773,358.249,-57.364,-1067.458,335.778,159.755,-1000.000,323.925,34.000,88.000
60,0.66667,0.11667,0,27.412,-982.559,359.219,-50.536,-1060.013,317.825,160.826,-1000.000,328.772,34.000,88.000
60,0.68333,0.13333,0,30.913,-977.807,361.580,-52.806,-1042.931,311.196,161.776,-1000.000,333.347,34.000,88.000
