fps,case,time,action,player_z,player_vz,enemy_phase,enemy_z,enemy_hp,sp,montage_position,falling,dive_landed
30,0,0.0333,Sword.Rising,90.15,0.00,0,90.15,10000.00,85.00,0.03333,0,0
30,0,0.0667,Sword.Rising,90.15,0.00,0,90.15,10000.00,85.00,0.06667,0,0
30,0,0.1000,Sword.Rising,90.15,0.00,0,90.15,10000.00,85.00,0.10000,0,0
30,0,0.1333,Sword.Rising,90.15,0.00,0,90.15,10000.00,85.00,0.13333,0,0
30,0,0.1667,Sword.Rising,90.15,0.00,0,90.15,10000.00,85.00,0.16667,0,0
30,0,0.2000,Sword.Rising,90.15,0.00,1,90.15,9962.50,85.00,0.20000,0,0
30,0,0.2333,Sword.Rising,113.07,687.33,1,114.27,9962.50,85.00,0.23333,1,0
30,0,0.2667,Sword.Rising,134.91,654.67,1,137.31,9962.50,85.00,0.26667,1,0
30,0,0.3000,Sword.Rising,155.90,622.00,1,159.25,9962.50,85.00,0.30000,1,0
30,0,0.3333,Sword.Rising,175.88,589.33,1,180.11,9962.50,85.00,0.33333,1,0
30,0,0.3667,Sword.Rising,194.82,556.67,1,199.87,9962.50,85.00,0.36667,1,0
30,0,0.4000,Sword.Rising,212.69,524.00,1,218.55,9962.50,85.00,0.40000,1,0
30,0,0.4333,Sword.Rising,229.54,491.33,1,236.14,9962.50,85.00,0.43333,1,0
30,0,0.4667,Sword.Rising,245.37,458.67,1,252.64,9962.50,85.00,0.46667,1,0
30,0,0.5000,Sword.Rising,260.11,426.00,1,268.05,9962.50,85.00,0.50000,1,0
30,0,0.5333,Sword.Rising,273.77,393.33,1,282.37,9962.50,85.00,0.53333,1,0
30,0,0.5667,Sword.Air.Light.1,286.34,360.67,1,295.61,9962.50,85.00,0.00000,1,0
30,0,0.6000,Sword.Air.Light.1,297.81,328.00,1,307.75,9962.50,85.00,0.03333,1,0
30,0,0.6333,Sword.Air.Light.1,308.20,295.33,1,318.81,9962.50,85.00,0.06667,1,0
30,0,0.6667,Sword.Air.Light.1,317.50,262.67,1,328.77,9962.50,85.00,0.10000,1,0
30,0,0.7000,Sword.Air.Light.1,325.71,230.00,1,337.65,9962.50,85.00,0.13333,1,0
30,0,0.7333,Sword.Air.Light.1,332.84,197.33,1,345.44,9962.50,85.00,0.16667,1,0
30,0,0.7667,Sword.Air.Light.1,338.87,164.67,1,352.14,9962.50,85.00,0.20000,1,0
30,0,0.8000,Sword.Air.Light.1,343.81,132.00,1,357.75,9962.50,85.00,0.23333,1,0
30,0,0.8333,Sword.Air.Light.1,347.67,99.33,1,362.27,9962.50,85.00,0.26667,1,0
30,0,0.8667,Sword.Air.Light.1,350.44,66.67,1,365.71,9933.75,85.00,0.30000,1,0
30,0,0.9000,Sword.Air.Light.1,352.11,34.00,1,368.05,9933.75,85.00,0.33333,1,0
30,0,0.9333,Sword.Air.Light.1,352.70,1.33,1,369.31,9933.75,85.00,0.36667,1,0
30,0,0.9667,Sword.Air.Light.1,352.20,-31.33,1,369.47,9933.75,85.00,0.40000,1,0
30,0,1.0000,Sword.Air.Light.1,350.61,-64.00,1,368.55,9933.75,85.83,0.43333,1,0
30,0,1.0333,Sword.Air.Light.1,347.94,-96.67,1,366.54,9933.75,86.67,0.46667,1,0
30,0,1.0667,Sword.Air.Light.2,344.17,-129.33,1,363.44,9933.75,87.50,0.00000,1,0
30,0,1.1000,Sword.Air.Light.2,339.31,-162.00,1,359.25,9933.75,88.33,0.03333,1,0
30,0,1.1333,Sword.Air.Light.2,333.37,-194.67,1,353.97,9933.75,89.17,0.06667,1,0
30,0,1.1667,Sword.Air.Light.2,326.34,-227.33,1,347.61,9933.75,90.00,0.10000,1,0
30,0,1.2000,Sword.Air.Light.2,318.21,-260.00,1,340.15,9933.75,90.83,0.13333,1,0
30,0,1.2333,Sword.Air.Light.2,309.00,-292.67,1,331.61,9933.75,91.67,0.16667,1,0
30,0,1.2667,Sword.Air.Light.2,298.70,-325.33,1,321.97,9905.00,92.50,0.20000,1,0
30,0,1.3000,Sword.Air.Light.2,287.31,-358.00,1,311.25,9905.00,93.33,0.23333,1,0
30,0,1.3333,Sword.Air.Light.2,274.84,-390.67,1,299.44,9905.00,94.17,0.26667,1,0
30,0,1.3667,Sword.Air.Light.2,261.27,-423.33,1,286.54,9905.00,95.00,0.30000,1,0
30,0,1.4000,Sword.Air.Light.2,246.61,-456.00,1,272.55,9905.00,95.83,0.33333,1,0
30,0,1.4333,Sword.Air.Light.2,230.87,-488.67,1,257.47,9905.00,96.67,0.36667,1,0
30,0,1.4667,Sword.Air.Light.2,214.04,-521.33,1,241.31,9905.00,97.50,0.40000,1,0
30,0,1.5000,Sword.Air.Light.2,196.11,-554.00,1,224.05,9905.00,98.33,0.43333,1,0
30,0,1.5333,Sword.Air.Light.2,177.10,-586.67,1,205.71,9905.00,99.17,0.46667,1,0
30,0,1.5667,Sword.Air.Light.2,157.00,-619.33,1,186.27,9905.00,100.00,0.50000,1,0
30,0,1.6000,Sword.Air.Dive,135.81,-652.00,1,165.75,9905.00,85.00,0.03333,1,0
30,0,1.6333,Sword.Air.Dive,113.54,-684.67,1,144.14,9905.00,85.00,0.06667,1,0
30,0,1.6667,Sword.Air.Dive,90.17,-717.33,1,121.44,9905.00,85.00,0.10000,1,0
30,0,1.7000,Sword.Air.Dive,90.15,0.00,1,97.65,9905.00,85.00,0.81667,0,1
30,0,1.7333,Sword.Air.Dive,90.15,0.00,1,90.15,9905.00,85.00,0.85000,0,1
30,0,1.7667,Sword.Air.Dive,90.15,0.00,1,90.15,9905.00,85.00,0.88333,0,1
30,0,1.8000,Sword.Air.Dive,90.15,0.00,1,90.15,9905.00,85.00,0.91667,0,1
30,0,1.8333,Sword.Air.Dive,90.15,0.00,2,90.15,9905.00,85.00,0.95000,0,1
30,0,1.8667,Sword.Air.Dive,90.15,0.00,2,90.15,9905.00,85.00,0.98333,0,1
30,0,1.9000,Sword.Air.Dive,90.15,0.00,2,90.15,9905.00,85.00,1.01667,0,1
30,0,1.9333,Sword.Air.Dive,90.15,0.00,2,90.15,9905.00,85.00,1.05000,0,1
30,0,1.9667,Sword.Air.Dive,90.15,0.00,2,90.15,9905.00,85.00,1.08333,0,1
30,0,2.0000,Sword.Air.Dive,90.15,0.00,2,90.15,9905.00,85.00,1.11667,0,1
30,0,2.0333,Sword.Air.Dive,90.15,0.00,2,90.15,9905.00,85.00,1.15000,0,1
30,0,2.0667,Sword.Air.Dive,90.15,0.00,2,90.15,9905.00,85.00,1.18333,0,1
30,0,2.1000,Sword.Air.Dive,90.15,0.00,2,90.15,9905.00,85.00,1.21667,0,1
30,0,2.1333,Sword.Air.Dive,90.15,0.00,2,90.15,9905.00,85.00,1.25000,0,1
