fps,time,direction,actor_yaw,speed,foot_l_x,foot_l_y,foot_l_z,foot_r_x,foot_r_y,foot_r_z
30,0.0333,0.000,0.000,0.000,43.296,-1038.375,0.597,-37.224,-953.801,0.920
30,0.0667,178.854,0.000,68.267,38.450,-1024.909,-1.725,-32.578,-970.304,0.383
30,0.1000,178.854,0.000,136.533,35.723,-1014.233,-1.209,-39.529,-981.088,3.652
30,0.1333,178.857,-0.003,150.000,35.414,-1010.092,-0.426,-47.099,-984.708,5.260
30,0.1667,178.859,-0.005,150.000,36.357,-1007.864,0.235,-53.008,-986.708,5.692
30,0.2000,178.860,-0.006,150.000,36.618,-1006.164,1.021,-56.818,-988.149,5.590
30,0.2333,178.862,-0.007,150.000,34.102,-1004.991,1.814,-58.175,-989.045,5.231
30,0.2667,178.862,-0.007,150.000,29.308,-1004.435,2.404,-58.993,-989.432,4.540
30,0.3000,178.863,-0.009,150.000,22.677,-1005.318,2.915,-59.230,-989.041,3.726
30,0.3333,178.863,-0.009,150.000,14.780,-1005.550,3.464,-59.690,-989.063,3.091
30,0.3667,178.864,-0.010,150.000,5.533,-1006.243,4.268,-59.986,-989.107,2.697
30,0.4000,178.864,-0.010,150.000,-5.816,-1007.494,5.357,-59.986,-989.079,2.403
30,0.4333,178.864,-0.010,150.000,-18.244,-1008.823,6.513,-59.800,-989.000,2.200
30,0.4667,178.864,-0.010,150.000,-30.540,-1009.710,7.485,-59.670,-988.940,1.983
30,0.5000,178.864,-0.010,150.000,-42.673,-1009.928,8.099,-59.705,-988.917,1.691
30,0.5333,178.864,-0.010,150.000,-55.046,-1009.751,8.562,-59.813,-988.908,1.347
30,0.5667,178.865,-0.011,150.000,-67.653,-1009.492,9.133,-65.360,-988.792,1.080
30,0.6000,178.865,-0.011,150.000,-81.307,-1009.246,9.764,-65.349,-988.868,1.006
30,0.6333,-179.998,-0.011,150.000,-94.670,-1009.026,10.342,-65.408,-988.860,0.941
30,0.6667,-179.427,-0.009,150.000,-105.909,-1008.750,10.843,-65.409,-988.749,0.900
30,0.7000,-179.141,-0.006,150.000,-114.778,-1008.104,11.483,-65.226,-988.664,0.829
30,0.7333,-178.999,-0.003,150.000,-122.382,-1007.202,11.983,-64.991,-988.577,0.809
30,0.7667,-178.929,-0.000,150.000,-129.556,-1006.363,11.710,-64.861,-988.384,1.022
30,0.8000,-178.894,0.002,150.000,-136.066,-1005.560,10.304,-64.350,-988.052,1.474
30,0.8333,-178.878,0.004,150.000,-141.900,-1004.863,8.410,-64.324,-987.590,2.118
30,0.8667,-178.870,0.006,150.000,-147.655,-1004.460,6.856,-66.456,-987.130,2.833
30,0.9000,-178.866,0.007,150.000,-152.837,-1004.326,5.690,-69.999,-986.677,3.537
30,0.9333,-178.864,0.007,150.000,-157.157,-1004.287,4.623,-74.339,-986.220,4.222
30,0.9667,-178.864,0.009,150.000,-161.128,-1004.231,3.490,-79.850,-985.768,4.893
30,1.0000,-178.864,0.009,150.000,-162.398,-1004.218,2.944,-86.889,-985.322,5.563
30,1.0333,-178.864,0.010,150.000,-162.644,-1004.237,2.617,-96.526,-984.836,6.233
30,1.0667,-178.864,0.010,150.000,-162.774,-1004.248,2.300,-109.252,-984.281,6.915
