fps,case,time,action,position_x,position_y,position_z,hp,sp,enemy_hp,actor_yaw,enemy_x,enemy_y
30,0,0.0333,Sword.Light.1,5.41,-1000.00,90.15,10000.00,100.00,10000.00,0.00,140.00,-1000.00
30,0,0.0667,Sword.Light.1,12.17,-1000.00,90.15,10000.00,100.00,10000.00,0.00,140.00,-1000.00
30,0,0.1000,Sword.Light.1,14.05,-1000.00,90.15,10000.00,100.00,10000.00,0.00,140.00,-1000.00
30,0,0.1333,Sword.Light.1,17.34,-1000.00,90.15,10000.00,100.00,10000.00,0.00,140.00,-1000.00
30,0,0.1667,Sword.Light.1,19.47,-1000.00,90.15,10000.00,100.00,10000.00,0.00,140.00,-1000.00
30,0,0.2000,Sword.Light.1,25.67,-1000.00,90.15,10000.00,100.00,10000.00,0.00,140.00,-1000.00
30,0,0.2333,Sword.Light.1,28.72,-1000.00,90.15,10000.00,100.00,9975.00,0.00,140.00,-1000.00
30,0,0.2667,Sword.Light.1,31.41,-1000.00,90.15,10000.00,100.00,9975.00,0.00,140.00,-1000.00
30,0,0.3000,Sword.Light.1,39.58,-1000.00,90.15,10000.00,100.00,9975.00,0.00,140.00,-1000.00
30,0,0.3333,Sword.Light.1,44.83,-1000.00,90.15,10000.00,100.00,9975.00,0.00,140.00,-1000.00
30,0,0.3667,Sword.Light.1,44.89,-1000.00,90.15,10000.00,100.00,9975.00,0.00,140.00,-1000.00
30,0,0.4000,Sword.Light.1,43.61,-1000.00,90.15,10000.00,100.00,9975.00,0.00,140.00,-1000.00
30,0,0.4333,Sword.Light.1,41.43,-1000.00,90.15,10000.00,100.00,9975.00,0.00,140.00,-1000.00
30,0,0.4667,Sword.Light.1,39.59,-1000.00,90.15,10000.00,100.00,9975.00,0.00,140.00,-1000.00
30,0,0.5000,Sword.Light.1,39.98,-1000.00,90.15,10000.00,100.00,9975.00,0.00,140.00,-1000.00
30,0,0.5333,Sword.Light.1,41.16,-1000.00,90.15,10000.00,100.00,9975.00,0.00,140.00,-1000.00
30,0,0.5667,Sword.Light.1,42.35,-1000.00,90.15,10000.00,100.00,9975.00,0.00,140.00,-1000.00
30,0,0.6000,Sword.Light.2,43.62,-1000.00,90.15,10000.00,100.00,9975.00,0.00,140.00,-1000.00
30,0,0.6333,Sword.Light.2,44.95,-1000.00,90.15,10000.00,100.00,9975.00,0.00,140.00,-1000.00
30,0,0.6667,Sword.Light.2,46.04,-1000.00,90.15,10000.00,100.00,9975.00,0.00,140.00,-1000.00
30,0,0.7000,Sword.Light.2,43.77,-1000.00,90.15,10000.00,100.00,9975.00,0.00,140.00,-1000.00
30,0,0.7333,Sword.Light.2,38.77,-1000.00,90.15,10000.00,100.00,9975.00,0.00,140.00,-1000.00
30,0,0.7667,Sword.Light.2,26.73,-1000.00,90.15,10000.00,100.00,9975.00,0.00,140.00,-1000.00
30,0,0.8000,Sword.Light.2,29.22,-1000.00,90.15,10000.00,100.00,9975.00,0.00,140.00,-1000.00
30,0,0.8333,Sword.Light.2,49.25,-1000.00,90.15,10000.00,100.00,9950.00,0.00,140.00,-1000.00
30,0,0.8667,Sword.Light.2,70.96,-1000.00,90.15,10000.00,100.00,9950.00,0.00,140.00,-1000.00
30,0,0.9000,Sword.Light.2,70.96,-1000.00,90.15,10000.00,100.00,9950.00,0.00,140.00,-1000.00
30,0,0.9333,Sword.Light.2,70.98,-1000.00,90.15,10000.00,100.00,9950.00,0.00,140.00,-1000.00
30,0,0.9667,Sword.Light.2,71.30,-1000.00,90.15,10000.00,100.00,9950.00,0.00,140.00,-1000.00
30,0,1.0000,Sword.Light.2,71.76,-1000.00,90.15,10000.00,100.00,9950.00,0.00,140.00,-1000.00
30,0,1.0333,Sword.Light.2,71.90,-1000.00,90.15,10000.00,100.00,9950.00,0.00,140.00,-1000.00
30,0,1.0667,Sword.Light.2,71.32,-1000.00,90.15,10000.00,100.00,9950.00,0.00,140.00,-1000.00
30,0,1.1000,Sword.Light.2,70.15,-1000.00,90.15,10000.00,100.00,9950.00,0.00,140.00,-1000.00
30,0,1.1333,Sword.Light.2,68.29,-1000.00,90.15,10000.00,100.00,9950.00,0.00,140.00,-1000.00
30,0,1.1667,Sword.Light.2,66.06,-1000.00,90.15,10000.00,100.00,9950.00,0.00,140.00,-1000.00
30,0,1.2000,Sword.Light.2,63.34,-1000.00,90.15,10000.00,100.00,9950.00,0.00,140.00,-1000.00
30,0,1.2333,Sword.Light.2,60.53,-1000.00,90.15,10000.00,100.00,9950.00,0.00,140.00,-1000.00
30,0,1.2667,Sword.Light.2,58.16,-1000.00,90.15,10000.00,100.00,9950.00,0.00,140.00,-1000.00
30,0,1.3000,Sword.Light.2,56.57,-1000.00,90.15,10000.00,100.00,9950.00,0.00,140.00,-1000.00
30,0,1.3333,Sword.Light.2,55.32,-1000.00,90.15,10000.00,100.00,9950.00,0.00,140.00,-1000.00
30,0,1.3667,Sword.Light.2,54.47,-1000.00,90.15,10000.00,100.00,9950.00,0.00,140.00,-1000.00
30,0,1.4000,Sword.Light.2,54.23,-1000.00,90.15,10000.00,100.00,9950.00,0.00,140.00,-1000.00
30,0,1.4333,Sword.Light.2,54.79,-1000.00,90.15,10000.00,100.00,9950.00,0.00,140.00,-1000.00
30,0,1.4667,Sword.Light.2,56.74,-1000.00,90.15,10000.00,100.00,9950.00,0.00,140.00,-1000.00
30,0,1.5000,Sword.Light.2,59.89,-1000.00,90.15,10000.00,100.00,9950.00,0.00,140.00,-1000.00
30,0,1.5333,Sword.Light.2,63.31,-1000.00,90.15,10000.00,100.00,9950.00,0.00,140.00,-1000.00
30,0,1.5667,Sword.Light.2,66.07,-1000.00,90.15,10000.00,100.00,9950.00,0.00,140.00,-1000.00
30,0,1.6000,Sword.Light.2,68.05,-1000.00,90.15,10000.00,100.00,9950.00,0.00,140.00,-1000.00
30,0,1.6333,Sword.Light.2,69.75,-1000.00,90.15,10000.00,100.00,9950.00,0.00,140.00,-1000.00
30,0,1.6667,Sword.Light.2,71.26,-1000.00,90.15,10000.00,100.00,9950.00,0.00,140.00,-1000.00
30,0,1.7000,Sword.Light.2,71.86,-1000.00,90.15,10000.00,100.00,9950.00,0.00,140.00,-1000.00
30,0,1.7333,Sword.Light.2,71.87,-1000.00,90.15,10000.00,100.00,9950.00,0.00,140.00,-1000.00
30,0,1.7667,Sword.Light.2,71.87,-1000.00,90.15,10000.00,100.00,9950.00,0.00,140.00,-1000.00
30,0,1.8000,Sword.Light.2,71.87,-1000.00,90.15,10000.00,100.00,9950.00,0.00,140.00,-1000.00
30,0,1.8333,Sword.Light.2,71.87,-1000.00,90.15,10000.00,100.00,9950.00,0.00,140.00,-1000.00
30,0,1.8667,Sword.Light.2,71.87,-1000.00,90.15,10000.00,100.00,9950.00,0.00,140.00,-1000.00
30,0,1.9000,Sword.Light.2,71.89,-1000.00,90.15,10000.00,100.00,9950.00,0.00,140.00,-1000.00
30,0,1.9333,Sword.Light.2,71.90,-1000.00,90.15,10000.00,100.00,9950.00,0.00,140.00,-1000.00
30,0,1.9667,Sword.Light.2,71.90,-1000.00,90.15,10000.00,100.00,9950.00,0.00,140.00,-1000.00
30,0,2.0000,Sword.Light.2,71.90,-1000.00,90.15,10000.00,100.00,9950.00,0.00,140.00,-1000.00
30,0,2.0333,Sword.Light.2,71.65,-1000.00,90.15,10000.00,100.00,9950.00,0.00,140.00,-1000.00
30,0,2.0667,Sword.Light.2,71.09,-1000.00,90.15,10000.00,100.00,9950.00,0.00,140.00,-1000.00
30,0,2.1000,Sword.Light.2,70.30,-1000.00,90.15,10000.00,100.00,9950.00,0.00,140.00,-1000.00
30,0,2.1333,Sword.Light.2,69.40,-1000.00,90.15,10000.00,100.00,9950.00,0.00,140.00,-1000.00
30,0,2.1667,Sword.Light.2,68.49,-1000.00,90.15,10000.00,100.00,9950.00,0.00,140.00,-1000.00
30,0,2.2000,Sword.Light.2,67.67,-1000.00,90.15,10000.00,100.00,9950.00,0.00,140.00,-1000.00
30,0,2.2333,Sword.Light.2,67.06,-1000.00,90.15,10000.00,100.00,9950.00,0.00,140.00,-1000.00
