资产名,类别,实际类型,时长秒_未乘RateScale,动画帧数,SequenceRateScale,EnableRootMotion,ForceRootLock,根净位移Xcm,根净位移Ycm,根净位移Zcm,水平根轨迹路程cm_61采样,根高度幅度cm,根累计Yaw度,原始水平平均路径速度cm每秒,当前RateScale下平均路径速度_仅序列倍率,本资产Notify数量,引用片段,建议用途,Skeleton,UE路径,文件SHA256
Air_Attack_01_Anim,空中攻击,AnimSequence,0.7833333611488342,47,1.0,False,False,0.0,0.0,0.0,0.0,31.103,0.0,0.0,0.0,2,,按方案派生/复用 Montage 或分段状态；完整与拆分版本择一,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/Air_Attack_01_Anim,ac5ae8bb68f07b7d0b9c03e5234d222ba7ce196c47d7a8402b843bdbd79c7830
Air_Attack_02_Anim,空中攻击,AnimSequence,0.7833333611488342,47,1.0,False,False,0.0,0.0,0.0,0.0,35.35,0.0,0.0,0.0,2,,按方案派生/复用 Montage 或分段状态；完整与拆分版本择一,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/Air_Attack_02_Anim,8e2573a51efbe871b053466709d39d78bb8aa28f10b96195dc4ca1b4593953f0
Air_Attack_03_Anim,空中攻击,AnimSequence,0.9666666388511658,58,1.0,False,False,0.0,0.0,0.0,0.0,28.912,0.0,0.0,0.0,1,,按方案派生/复用 Montage 或分段状态；完整与拆分版本择一,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/Air_Attack_03_Anim,e957d3cf007d59880634d8a50b1edec2ba9b3ae6aac801c5d15e4be2ca2f041e
Air_Attack_04_Anim,空中攻击,AnimSequence,0.8333333134651184,50,1.0,False,False,0.0,583.755,0.0,601.964,9.427,0.0,722.356,722.356,2,,按方案派生/复用 Montage 或分段状态；完整与拆分版本择一,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/Air_Attack_04_Anim,6ab829630650dcd1d63da487a733900102261db9692adf61dcae4143cd6769b9
Air_Attack_05_Anim,空中攻击,AnimSequence,2.3333332538604736,140,1.0,True,False,0.0,167.14,0.0,243.518,0.0,0.0,104.365,104.365,4,,按方案派生/复用 Montage 或分段状态；完整与拆分版本择一,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/Air_Attack_05_Anim,b5b9904af1e3919c70bd223df752d0f0f40c36916f73845219836a4ad1b28bdb
Air_Attack_05_In_Anim,空中攻击,AnimSequence,0.4000000059604645,24,1.0,False,False,0.0,119.693,0.0,156.696,0.0,0.0,391.739,391.739,2,,按方案派生/复用 Montage 或分段状态；完整与拆分版本择一,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/Air_Attack_05_In_Anim,164f6f20560d3d2edac7a1b9392dae7e83dfa91d9e2b64c19ceaddfcc946bfdb
Air_Attack_05_Loop_Anim,空中攻击,AnimSequence,0.13333334028720856,4,1.0,False,False,0.0,49.559,0.0,49.559,0.0,0.0,371.691,371.691,2,,按方案派生/复用 Montage 或分段状态；完整与拆分版本择一,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/Air_Attack_05_Loop_Anim,c4de4293437530dfcd74cb8255df8a8b778cacadf86223e40f213203e69022e4
Air_Attack_05_Out_Anim,空中攻击,AnimSequence,1.9333332777023315,116,1.0,False,False,0.0,47.446,0.0,87.055,0.0,0.0,45.028,45.028,3,,按方案派生/复用 Montage 或分段状态；完整与拆分版本择一,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/Air_Attack_05_Out_Anim,78f9439d3da3e62b0dbdf156e083164099475f56ea5e4ef18ffd5633d92cf408
Air_Attack_06_Anim,空中攻击,AnimSequence,2.5,150,1.0,False,False,0.0,16.134,-0.0,41.092,98.327,0.0,16.437,16.437,3,,按方案派生/复用 Montage 或分段状态；完整与拆分版本择一,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/Air_Attack_06_Anim,1593fbc0967654eef381a845eb797af8b0260e36ec1241652e435a73c06d650b
Air_Attack_06_In_Anim,空中攻击,AnimSequence,0.6000000238418579,36,1.0,False,False,0.0,17.241,-0.0,19.822,98.374,0.0,33.036,33.036,1,,按方案派生/复用 Montage 或分段状态；完整与拆分版本择一,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/Air_Attack_06_In_Anim,ae98b04374e08503d742fc68db81a62c3f4fdcb3c96df46029e32a3b6636499c
Air_Attack_06_Loop_Anim,空中攻击,AnimSequence,0.6666666865348816,40,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,按方案派生/复用 Montage 或分段状态；完整与拆分版本择一,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/Air_Attack_06_Loop_Anim,fb5eb036c064bfceec27a8c947f3ca48a3d83bf76ca14b0eac97dbf3b8d9c0ff
